folder,image,was_found,time,dataset,type
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\converted_images\\,1\1.jpg,True,7.839,att,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\converted_images\\,1\2.jpg,True,7.755,att,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\converted_images\\,1\1.jpg,True,8.505,att,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\converted_images\\,1\2.jpg,True,7.427,att,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\converted_images\\,10\5.jpg,False,7.65,att,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\converted_images\\,10\8.jpg,False,7.639,att,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\converted_images\\,10\5.jpg,False,7.463,att,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\converted_images\\,10\8.jpg,False,7.364,att,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\converted_images\\,38\5.jpg,False,7.409,att,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\converted_images\\,38\8.jpg,False,7.423,att,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\converted_images\\,38\5.jpg,False,7.777,att,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\converted_images\\,38\8.jpg,False,7.579,att,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,1\1.jpg,True,7.561,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,1\2.jpg,True,7.39,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,2\5.jpg,False,7.558,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,2\8.jpg,False,7.422,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,10\5.jpg,False,7.344,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,10\8.jpg,False,7.458,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,17\5.jpg,False,7.458,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,18\9.jpg,False,7.386,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,19\2.jpg,False,7.363,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,19\10.jpg,False,7.381,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,20\2.jpg,False,7.438,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,20\10.jpg,False,7.309,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,29\2.jpg,False,7.399,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,29\10.jpg,False,7.348,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,38\5.jpg,False,8.583,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,38\8.jpg,False,8.428,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face1\1face1.jpg,True,1.746,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face1\2face1.jpg,True,1.499,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face2\10face2.jpg,True,1.604,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face2\12face2.jpg,True,1.602,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face3\5face3.jpg,True,1.514,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face3\8face3.jpg,True,1.48,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face4\5face4.jpg,True,1.479,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face4\10face4.jpg,True,1.449,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face5\10face5.jpg,True,1.52,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face5\2face5.jpg,True,1.57,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face6\8face6.jpg,True,1.455,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face6\12face6.jpg,True,1.517,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\tt_dataset\Final Training Images\,face4\5face4.jpg,True,1.574,tt,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\tt_dataset\Final Training Images\,face4\10face4.jpg,True,1.587,tt,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\tt_dataset\Final Training Images\,face5\10face5.jpg,True,1.445,tt,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\tt_dataset\Final Training Images\,face5\2face5.jpg,True,1.537,tt,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\tt_dataset\Final Training Images\,face6\8face6.jpg,True,1.5,tt,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\tt_dataset\Final Training Images\,face6\12face6.jpg,True,1.581,tt,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\tt_dataset\Final Training Images\,face4\5face4.jpg,True,1.677,tt,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\tt_dataset\Final Training Images\,face4\10face4.jpg,True,1.457,tt,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\tt_dataset\Final Training Images\,face5\10face5.jpg,True,1.432,tt,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\tt_dataset\Final Training Images\,face5\2face5.jpg,True,1.465,tt,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\tt_dataset\Final Training Images\,face6\8face6.jpg,True,1.478,tt,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\tt_dataset\Final Training Images\,face6\12face6.jpg,True,1.413,tt,noised
