image,compare_with,result,is_same_person,time,dataset,type1,type2
1\1.jpg,20\10.jpg,True,False,0.748,att,noised,usual
1\2.jpg,38\8.jpg,True,False,0.399,att,noised,blured
1\1.jpg,1\2.jpg,False,True,0.327,att,blured,usual
1\2.jpg,38\8.jpg,True,False,0.352,att,blured,usual
10\5.jpg,10\8.jpg,True,True,0.337,att,noised,blured
10\8.jpg,20\10.jpg,True,False,0.353,att,noised,usual
10\5.jpg,38\5.jpg,False,False,0.347,att,blured,noised
10\8.jpg,10\5.jpg,True,True,0.349,att,blured,noised
38\5.jpg,38\8.jpg,True,True,0.338,att,blured,noised
38\8.jpg,1\1.jpg,False,False,0.35,att,blured,usual
38\5.jpg,10\5.jpg,False,False,0.422,att,noised,usual
38\8.jpg,1\2.jpg,True,False,0.333,att,noised,blured
1\1.jpg,38\8.jpg,False,False,0.354,att,usual,usual
1\2.jpg,20\2.jpg,False,False,0.352,att,usual,usual
2\5.jpg,1\1.jpg,False,False,0.353,att,usual,blured
2\8.jpg,18\9.jpg,True,False,0.342,att,usual,usual
10\5.jpg,10\8.jpg,True,True,0.332,att,usual,noised
10\8.jpg,10\5.jpg,True,True,0.338,att,usual,noised
17\5.jpg,19\2.jpg,True,False,0.422,att,usual,usual
18\9.jpg,1\1.jpg,False,False,0.333,att,usual,noised
19\2.jpg,20\10.jpg,False,False,0.349,att,usual,usual
19\10.jpg,10\8.jpg,True,False,0.34,att,usual,usual
20\2.jpg,17\5.jpg,True,False,0.329,att,usual,usual
20\10.jpg,1\1.jpg,True,False,0.356,att,usual,usual
29\2.jpg,38\5.jpg,True,False,0.356,att,usual,usual
29\10.jpg,19\10.jpg,True,False,0.335,att,usual,usual
38\5.jpg,38\8.jpg,True,True,0.339,att,usual,noised
38\8.jpg,38\5.jpg,True,True,0.419,att,usual,usual
face1\1face1.jpg,face3\5face3.jpg,True,False,0.425,tt,usual,usual
face1\2face1.jpg,face2\10face2.jpg,False,False,0.426,tt,usual,usual
face2\10face2.jpg,face4\10face4.jpg,False,False,0.412,tt,usual,noised
face2\12face2.jpg,face3\8face3.jpg,True,False,0.434,tt,usual,usual
face3\5face3.jpg,face6\8face6.jpg,True,False,0.415,tt,usual,usual
face3\8face3.jpg,face5\10face5.jpg,True,False,0.42,tt,usual,noised
face4\5face4.jpg,face6\8face6.jpg,True,False,0.415,tt,usual,noised
face4\10face4.jpg,face6\8face6.jpg,True,False,2.406,tt,usual,usual
face5\10face5.jpg,face4\10face4.jpg,True,False,2.257,tt,usual,usual
face5\2face5.jpg,face3\5face3.jpg,True,False,2.261,tt,usual,usual
face6\8face6.jpg,face4\10face4.jpg,False,False,2.269,tt,usual,blured
face6\12face6.jpg,face4\10face4.jpg,True,False,2.276,tt,usual,noised
face4\5face4.jpg,face5\2face5.jpg,False,False,2.292,tt,blured,blured
face4\10face4.jpg,face2\10face2.jpg,False,False,0.444,tt,blured,usual
face5\10face5.jpg,face2\12face2.jpg,False,False,0.438,tt,blured,usual
face5\2face5.jpg,face4\5face4.jpg,False,False,0.492,tt,blured,noised
face6\8face6.jpg,face1\2face1.jpg,False,False,0.409,tt,blured,usual
face6\12face6.jpg,face5\2face5.jpg,False,False,0.431,tt,blured,blured
face4\5face4.jpg,face5\10face5.jpg,True,False,0.416,tt,noised,usual
face4\10face4.jpg,face5\2face5.jpg,False,False,0.411,tt,noised,noised
face5\10face5.jpg,face1\2face1.jpg,False,False,0.402,tt,noised,usual
face5\2face5.jpg,face3\5face3.jpg,True,False,0.41,tt,noised,usual
face6\8face6.jpg,face4\10face4.jpg,True,False,0.43,tt,noised,blured
face6\12face6.jpg,face5\10face5.jpg,True,False,0.512,tt,noised,blured
