image,compare_with,result,is_same_person,time,dataset,type1,type2
1\1.jpg,29\10.jpg,False,False,2.46,att,blured,usual
10\5.jpg,1\1.jpg,False,False,2.92,att,noised,blured
10\8.jpg,10\5.jpg,False,True,2.356,att,noised,usual
38\5.jpg,10\5.jpg,False,False,2.384,att,blured,noised
38\8.jpg,20\10.jpg,False,False,2.541,att,blured,usual
38\8.jpg,10\5.jpg,False,False,2.508,att,noised,blured
1\1.jpg,10\5.jpg,False,False,2.337,att,usual,noised
1\2.jpg,38\5.jpg,False,False,2.359,att,usual,blured
2\5.jpg,38\8.jpg,False,False,2.537,att,usual,usual
10\8.jpg,1\1.jpg,False,False,2.443,att,usual,usual
17\5.jpg,38\8.jpg,False,False,3.399,att,usual,blured
18\9.jpg,1\2.jpg,False,False,2.49,att,usual,usual
19\10.jpg,38\8.jpg,False,False,2.704,att,usual,noised
20\2.jpg,2\8.jpg,False,False,2.381,att,usual,usual
29\2.jpg,10\5.jpg,False,False,2.415,att,usual,blured
29\10.jpg,38\8.jpg,False,False,2.327,att,usual,blured
38\5.jpg,38\8.jpg,False,True,2.428,att,usual,noised
38\8.jpg,10\8.jpg,False,False,2.317,att,usual,usual
face1\1face1.jpg,face4\5face4.jpg,False,False,2.704,tt,usual,blured
face1\2face1.jpg,face4\10face4.jpg,False,False,2.704,tt,usual,blured
face2\10face2.jpg,face6\8face6.jpg,False,False,2.558,tt,usual,blured
face2\12face2.jpg,face4\10face4.jpg,False,False,2.587,tt,usual,blured
face3\5face3.jpg,face6\12face6.jpg,False,False,2.674,tt,usual,noised
face3\8face3.jpg,face5\10face5.jpg,False,False,2.663,tt,usual,usual
face4\5face4.jpg,face4\10face4.jpg,True,True,2.57,tt,usual,blured
face4\10face4.jpg,face1\1face1.jpg,False,False,2.74,tt,usual,usual
face5\10face5.jpg,face2\12face2.jpg,False,False,2.61,tt,usual,usual
face5\2face5.jpg,face1\1face1.jpg,False,False,2.651,tt,usual,usual
face6\8face6.jpg,face4\10face4.jpg,False,False,2.722,tt,usual,noised
face6\12face6.jpg,face6\8face6.jpg,True,True,2.788,tt,usual,noised
face4\5face4.jpg,face6\8face6.jpg,False,False,2.576,tt,blured,noised
face4\10face4.jpg,face6\8face6.jpg,True,False,2.76,tt,blured,blured
face5\10face5.jpg,face4\10face4.jpg,False,False,2.675,tt,blured,blured
face5\2face5.jpg,face2\12face2.jpg,False,False,2.639,tt,blured,usual
face6\8face6.jpg,face5\2face5.jpg,False,False,2.745,tt,blured,usual
face6\12face6.jpg,face5\10face5.jpg,False,False,2.674,tt,blured,usual
face4\5face4.jpg,face6\12face6.jpg,False,False,2.544,tt,noised,noised
face4\10face4.jpg,face2\10face2.jpg,False,False,2.591,tt,noised,usual
face5\10face5.jpg,face3\8face3.jpg,False,False,2.711,tt,noised,usual
face5\2face5.jpg,face4\5face4.jpg,False,False,2.662,tt,noised,usual
face6\8face6.jpg,face5\2face5.jpg,False,False,2.6,tt,noised,usual
face6\12face6.jpg,face4\10face4.jpg,False,False,2.691,tt,noised,blured
