folder,image,was_found,time,dataset,type
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,12\2.jpg,True,47.246,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,33\4.jpg,True,46.831,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,40\8.jpg,False,46.758,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,40\8.jpg,False,47.767,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,1\9.jpg,True,46.844,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,40\6.jpg,True,46.83,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,12\7.jpg,True,46.747,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,1\6.jpg,True,46.832,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,6\6.jpg,True,46.687,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,6\7.jpg,True,46.596,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,40\7.jpg,True,46.639,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,7\8.jpg,False,46.281,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,40\7.jpg,True,46.338,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,12\5.jpg,True,89.485,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,6\5.jpg,True,83.39,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,22\5.jpg,False,82.221,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,12\3.jpg,True,75.844,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,8\10.jpg,False,62.903,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,6\9.jpg,True,51.302,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,6\8.jpg,True,48.873,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,12\7.jpg,False,46.749,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,12\5.jpg,True,46.386,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,6\5.jpg,False,91.324,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,6\8.jpg,True,93.581,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,8\9.jpg,False,92.709,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,22\5.jpg,False,88.274,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,12\9.jpg,True,81.541,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,13\9.jpg,True,68.687,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,22\5.jpg,True,58.825,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,40\8.jpg,True,52.603,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,12\7.jpg,False,52.174,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,40\3.jpg,True,52.543,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\second_set_dataset\Final Training Images\,face12\2face12.jpg,False,17.179,second_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\second_set_dataset\Final Training Images\,face7\1face7.jpg,False,16.536,second_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\second_set_dataset\Final Training Images\,face12\1face12.jpg,False,16.326,second_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\second_set_dataset\Final Training Images\,face8\4face8.jpg,False,16.091,second_set,usual
