folder,image,was_found,time,dataset,type
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,1\1.jpg,True,8.881,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,1\5.jpg,True,7.282,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,1\9.jpg,True,7.252,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,1\1.jpg,True,7.294,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,1\2.jpg,True,7.314,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,1\5.jpg,True,7.263,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,1\6.jpg,True,7.266,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,1\8.jpg,True,7.389,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,1\9.jpg,True,7.356,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,1\10.jpg,True,7.308,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,12\7.jpg,False,7.214,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,12\7.jpg,False,7.25,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,12\5.jpg,False,7.293,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,12\4.jpg,False,7.243,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,12\3.jpg,False,7.278,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,12\2.jpg,False,7.499,first_set,usual
