image,compare_with,result,is_same_person,time,dataset,type1,type2
1\1.jpg,1\6.jpg,True,True,2.804,first_set,usual,usual
1\5.jpg,1\2.jpg,True,True,2.341,first_set,usual,usual
1\1.jpg,12\2.jpg,False,False,2.554,first_set,usual,usual
1\2.jpg,12\7.jpg,False,False,2.345,first_set,usual,blurred
1\5.jpg,6\7.jpg,False,False,2.39,first_set,usual,usual
1\6.jpg,40\7.jpg,False,False,2.515,first_set,usual,usual
1\8.jpg,6\2.jpg,False,False,2.379,first_set,usual,usual
12\7.jpg,12\2.jpg,True,True,2.37,first_set,usual,usual
12\5.jpg,12\7.jpg,False,True,2.513,first_set,usual,noised
12\3.jpg,1\5.jpg,False,False,2.504,first_set,usual,usual
12\9.jpg,1\8.jpg,False,False,2.357,first_set,usual,usual
40\8.jpg,12\7.jpg,False,False,2.524,first_set,usual,usual
40\7.jpg,6\8.jpg,False,False,2.369,first_set,usual,usual
40\6.jpg,12\7.jpg,False,False,2.514,first_set,usual,usual
40\3.jpg,12\7.jpg,False,False,2.475,first_set,usual,noised
40\2.jpg,6\7.jpg,False,False,2.364,first_set,usual,usual
6\8.jpg,26\6.jpg,False,False,2.557,first_set,usual,blurred
6\9.jpg,17\2.jpg,False,False,2.35,first_set,usual,blurred
6\6.jpg,40\7.jpg,False,False,2.732,first_set,usual,usual
6\5.jpg,26\6.jpg,False,False,2.398,first_set,usual,blurred
6\2.jpg,1\2.jpg,False,False,2.61,first_set,usual,usual
face1\1face1.jpg,face16\3face16.jpg,False,False,2.697,second_set,usual,blurred
face1\2face1.jpg,face4\1face4.jpg,False,False,2.817,second_set,usual,usual
face2\10face2.jpg,face5\10face5.jpg,False,False,2.688,second_set,usual,usual
face2\12face2.jpg,face7\1face7.jpg,False,False,2.953,second_set,usual,noised
face1\1face1.jpg,face2\10face2.jpg,False,False,2.743,second_set,usual,noised
face1\2face1.jpg,face2\12face2.jpg,False,False,2.812,second_set,usual,usual
face3\10face3.jpg,face7\2face7.jpg,False,False,2.735,second_set,usual,blurred
face3\12face3.jpg,face9\1face9.jpg,False,False,2.825,second_set,usual,usual
face4\1face4.jpg,face3\10face3.jpg,False,False,2.749,second_set,usual,noised
face4\2face4.jpg,face9\1face9.jpg,False,False,2.759,second_set,usual,noised
face5\10face5.jpg,face2\10face2.jpg,False,False,2.949,second_set,usual,usual
face5\12face5.jpg,face16\3face16.jpg,False,False,2.665,second_set,usual,blurred
face6\1face6.jpg,face7\1face7.jpg,False,False,2.852,second_set,usual,noised
face6\2face6.jpg,face10\2face10.jpg,False,False,2.716,second_set,usual,noised
face5\10face5.jpg,face10\2face10.jpg,False,False,2.89,second_set,usual,usual
face4\12face4.jpg,face8\3face8.jpg,False,False,2.773,second_set,usual,noised
face16\1face16.jpg,face16\3face16.jpg,True,True,2.815,second_set,usual,usual
face16\3face16.jpg,face7\2face7.jpg,False,False,2.761,second_set,usual,blurred
face12\1face12.jpg,face5\12face5.jpg,False,False,2.827,second_set,usual,usual
face12\2face12.jpg,face4\2face4.jpg,False,False,2.717,second_set,usual,blurred
face10\2face10.jpg,face9\2face9.jpg,False,False,2.881,second_set,usual,usual
face10\2face10.jpg,face1\1face1.jpg,False,False,2.767,second_set,usual,noised
face13\1face13.jpg,face8\4face8.jpg,False,False,2.949,second_set,usual,usual
face13\2face13.jpg,face4\2face4.jpg,False,False,2.71,second_set,usual,blurred
face8\3face8.jpg,face12\2face12.jpg,False,False,2.872,second_set,usual,usual
face8\4face8.jpg,face7\1face7.jpg,False,False,2.792,second_set,usual,usual
face7\1face7.jpg,face12\2face12.jpg,False,False,2.894,second_set,usual,usual
face7\2face7.jpg,face13\2face13.jpg,False,False,2.696,second_set,usual,blurred
face9\1face9.jpg,face3\12face3.jpg,False,False,2.872,second_set,usual,blurred
face9\2face9.jpg,face1\1face1.jpg,False,False,2.756,second_set,usual,usual
face4\1face4.jpg,face4\2face4.jpg,True,True,2.893,second_set,usual,blurred
face4\2face4.jpg,face4\12face4.jpg,True,True,2.732,second_set,usual,blurred
8\10.jpg,8\9.jpg,False,True,2.421,first_set,noised,blurred
12\7.jpg,40\4.jpg,False,False,2.599,first_set,blurred,usual
12\5.jpg,6\9.jpg,False,False,2.562,first_set,blurred,usual
33\3.jpg,39\9.jpg,False,False,2.418,first_set,blurred,noised
39\9.jpg,6\9.jpg,False,False,2.613,first_set,noised,usual
40\8.jpg,1\5.jpg,False,False,2.404,first_set,blurred,usual
26\6.jpg,1\10.jpg,False,False,2.593,first_set,blurred,usual
15\4.jpg,1\9.jpg,False,False,2.443,first_set,blurred,usual
17\2.jpg,1\5.jpg,False,False,2.589,first_set,blurred,usual
6\7.jpg,40\3.jpg,False,False,2.473,first_set,blurred,usual
13\9.jpg,39\9.jpg,False,False,2.443,first_set,blurred,noised
22\5.jpg,40\3.jpg,False,False,2.595,first_set,blurred,usual
face1\1face1.jpg,face4\1face4.jpg,False,False,2.795,second_set,noised,noised
face1\2face1.jpg,face4\1face4.jpg,False,False,2.885,second_set,blurred,noised
face2\10face2.jpg,face1\2face1.jpg,False,False,2.745,second_set,noised,blurred
