image,compare_with,result,is_same_person,time,dataset,type1,type2
1\1.jpg,13\9.jpg,False,False,330.071,first_set,usual,blurred
1\5.jpg,15\4.jpg,False,False,2.978,first_set,usual,blurred
1\9.jpg,40\8.jpg,False,False,3.314,first_set,usual,usual
1\5.jpg,12\5.jpg,False,False,3.227,first_set,usual,blurred
1\6.jpg,26\6.jpg,False,False,3.626,first_set,usual,blurred
1\8.jpg,1\5.jpg,True,True,3.179,first_set,usual,usual
1\9.jpg,12\7.jpg,True,False,3.659,first_set,usual,usual
12\7.jpg,6\7.jpg,False,False,3.269,first_set,usual,usual
12\7.jpg,12\3.jpg,True,True,3.953,first_set,usual,usual
12\5.jpg,6\5.jpg,False,False,3.88,first_set,usual,usual
12\4.jpg,33\3.jpg,False,False,3.537,first_set,usual,blurred
12\3.jpg,40\5.jpg,False,False,3.206,first_set,usual,usual
12\2.jpg,6\2.jpg,True,False,2.997,first_set,usual,usual
12\9.jpg,13\9.jpg,False,False,3.129,first_set,usual,blurred
40\8.jpg,1\5.jpg,True,False,3.505,first_set,usual,usual
40\7.jpg,33\3.jpg,False,False,3.091,first_set,usual,blurred
40\6.jpg,12\7.jpg,False,False,3.177,first_set,usual,usual
40\4.jpg,1\1.jpg,True,False,2.935,first_set,usual,usual
40\3.jpg,26\6.jpg,False,False,3.177,first_set,usual,blurred
40\2.jpg,12\5.jpg,False,False,3.114,first_set,usual,usual
40\1.jpg,1\8.jpg,False,False,3.02,first_set,usual,usual
6\8.jpg,1\9.jpg,False,False,3.179,first_set,usual,usual
6\9.jpg,6\6.jpg,True,True,3.318,first_set,usual,usual
6\6.jpg,12\9.jpg,False,False,3.283,first_set,usual,usual
6\2.jpg,1\8.jpg,False,False,3.534,first_set,usual,usual
face1\1face1.jpg,face5\10face5.jpg,False,False,3.569,second_set,usual,noised
face1\2face1.jpg,face5\12face5.jpg,False,False,3.569,second_set,usual,usual
face2\10face2.jpg,face13\2face13.jpg,False,False,3.708,second_set,usual,blurred
face2\12face2.jpg,face10\2face10.jpg,False,False,3.4,second_set,usual,noised
face1\1face1.jpg,face2\10face2.jpg,True,False,3.56,second_set,usual,usual
face1\2face1.jpg,face13\2face13.jpg,False,False,3.328,second_set,usual,usual
face3\10face3.jpg,face5\10face5.jpg,False,False,3.462,second_set,usual,usual
face3\12face3.jpg,face8\3face8.jpg,False,False,3.496,second_set,usual,noised
face4\1face4.jpg,face2\10face2.jpg,True,False,3.409,second_set,usual,noised
face4\2face4.jpg,face10\2face10.jpg,False,False,3.543,second_set,usual,usual
face5\10face5.jpg,face6\1face6.jpg,False,False,3.448,second_set,usual,noised
face5\12face5.jpg,face10\2face10.jpg,False,False,3.509,second_set,usual,noised
face6\1face6.jpg,face5\12face5.jpg,False,False,3.413,second_set,usual,usual
face6\2face6.jpg,face3\10face3.jpg,True,False,3.327,second_set,usual,noised
face5\10face5.jpg,face12\1face12.jpg,False,False,3.422,second_set,usual,usual
face4\12face4.jpg,face13\1face13.jpg,False,False,3.464,second_set,usual,usual
face16\1face16.jpg,face6\2face6.jpg,False,False,3.361,second_set,usual,usual
face16\3face16.jpg,face6\2face6.jpg,False,False,3.508,second_set,usual,usual
face12\1face12.jpg,face13\1face13.jpg,False,False,3.36,second_set,usual,usual
face12\2face12.jpg,face4\2face4.jpg,False,False,3.554,second_set,usual,usual
face10\2face10.jpg,face2\12face2.jpg,False,False,3.365,second_set,usual,blurred
face10\2face10.jpg,face3\12face3.jpg,False,False,3.435,second_set,usual,usual
face13\1face13.jpg,face9\2face9.jpg,False,False,3.553,second_set,usual,usual
face13\2face13.jpg,face3\12face3.jpg,False,False,3.337,second_set,usual,blurred
face8\3face8.jpg,face2\12face2.jpg,False,False,3.558,second_set,usual,usual
face8\4face8.jpg,face2\10face2.jpg,True,False,3.398,second_set,usual,usual
face7\1face7.jpg,face12\1face12.jpg,True,False,3.548,second_set,usual,noised
face7\2face7.jpg,face5\10face5.jpg,True,False,3.55,second_set,usual,usual
face9\1face9.jpg,face12\1face12.jpg,False,False,3.408,second_set,usual,noised
face9\2face9.jpg,face8\3face8.jpg,False,False,3.614,second_set,usual,noised
face4\1face4.jpg,face4\12face4.jpg,True,True,3.418,second_set,usual,usual
face4\2face4.jpg,face6\1face6.jpg,False,False,3.535,second_set,usual,noised
8\9.jpg,6\7.jpg,True,False,3.161,first_set,blurred,blurred
8\10.jpg,12\5.jpg,False,False,3.215,first_set,noised,blurred
12\7.jpg,22\5.jpg,False,False,3.208,first_set,noised,blurred
12\5.jpg,40\4.jpg,False,False,3.14,first_set,blurred,usual
33\3.jpg,6\2.jpg,False,False,3.26,first_set,blurred,usual
39\9.jpg,12\7.jpg,False,False,3.233,first_set,noised,blurred
40\8.jpg,6\2.jpg,False,False,3.135,first_set,blurred,usual
6\7.jpg,12\7.jpg,False,False,3.29,first_set,blurred,usual
13\9.jpg,6\7.jpg,True,False,3.117,first_set,blurred,blurred
face1\1face1.jpg,face12\2face12.jpg,True,False,3.439,second_set,noised,blurred
face1\2face1.jpg,face13\1face13.jpg,False,False,3.538,second_set,blurred,usual
face2\10face2.jpg,face3\10face3.jpg,False,False,3.51,second_set,noised,usual
