image,compare_with,result,is_same_person,time,dataset,type1,type2
1\1.jpg,6\9.jpg,False,False,1.335,first_set,usual,usual
1\5.jpg,1\9.jpg,True,True,0.027,first_set,usual,usual
1\9.jpg,40\5.jpg,False,False,0.027,first_set,usual,usual
1\1.jpg,12\1.jpg,True,False,0.027,first_set,usual,usual
1\2.jpg,40\5.jpg,False,False,0.027,first_set,usual,usual
1\5.jpg,40\3.jpg,False,False,0.026,first_set,usual,usual
1\6.jpg,23\2.jpg,False,False,0.028,first_set,usual,noised
1\8.jpg,26\7.jpg,False,False,0.027,first_set,usual,noised
1\9.jpg,6\6.jpg,False,False,0.027,first_set,usual,noised
1\10.jpg,12\5.jpg,True,False,0.026,first_set,usual,usual
12\7.jpg,6\7.jpg,False,False,0.026,first_set,usual,usual
12\7.jpg,12\5.jpg,True,True,0.025,first_set,usual,blurred
12\5.jpg,6\7.jpg,False,False,0.025,first_set,usual,blurred
12\4.jpg,1\5.jpg,False,False,0.026,first_set,usual,usual
12\3.jpg,23\6.jpg,False,False,0.027,first_set,usual,noised
12\2.jpg,23\2.jpg,False,False,0.026,first_set,usual,noised
12\1.jpg,8\9.jpg,False,False,0.026,first_set,usual,blurred
12\9.jpg,6\9.jpg,False,False,0.026,first_set,usual,usual
40\8.jpg,34\1.jpg,False,False,0.025,first_set,usual,blurred
40\7.jpg,40\3.jpg,True,True,0.026,first_set,usual,usual
40\6.jpg,22\2.jpg,False,False,0.027,first_set,usual,noised
40\5.jpg,6\5.jpg,True,False,0.027,first_set,usual,usual
40\4.jpg,40\5.jpg,False,True,0.026,first_set,usual,usual
40\3.jpg,1\9.jpg,True,False,0.027,first_set,usual,usual
40\2.jpg,40\3.jpg,True,True,0.028,first_set,usual,usual
40\1.jpg,40\8.jpg,True,True,0.025,first_set,usual,blurred
6\7.jpg,12\7.jpg,False,False,0.026,first_set,usual,blurred
6\8.jpg,5\1.jpg,False,False,0.026,first_set,usual,noised
6\9.jpg,1\5.jpg,False,False,0.026,first_set,usual,usual
6\6.jpg,40\3.jpg,True,False,0.026,first_set,usual,usual
6\5.jpg,40\8.jpg,False,False,0.026,first_set,usual,blurred
6\2.jpg,22\2.jpg,False,False,0.027,first_set,usual,noised
face1\1face1.jpg,face4\1face4.jpg,True,False,0.07,second_set,usual,usual
face1\2face1.jpg,face6\2face6.jpg,False,False,0.062,second_set,usual,usual
face2\10face2.jpg,face1\1face1.jpg,False,False,0.068,second_set,usual,usual
face2\12face2.jpg,face16\3face16.jpg,False,False,0.064,second_set,usual,blurred
face1\1face1.jpg,face4\2face4.jpg,False,False,0.067,second_set,usual,usual
face1\2face1.jpg,face5\10face5.jpg,False,False,0.065,second_set,usual,usual
face3\10face3.jpg,face5\10face5.jpg,False,False,0.065,second_set,usual,noised
face3\12face3.jpg,face2\10face2.jpg,False,False,0.064,second_set,usual,noised
face4\1face4.jpg,face12\1face12.jpg,False,False,0.062,second_set,usual,usual
face4\2face4.jpg,face9\1face9.jpg,False,False,0.073,second_set,usual,usual
face5\10face5.jpg,face8\4face8.jpg,False,False,0.073,second_set,usual,usual
face5\12face5.jpg,face2\10face2.jpg,False,False,0.068,second_set,usual,noised
face6\1face6.jpg,face1\2face1.jpg,False,False,0.062,second_set,usual,usual
face6\2face6.jpg,face12\2face12.jpg,True,False,0.057,second_set,usual,blurred
face5\10face5.jpg,face2\10face2.jpg,False,False,0.065,second_set,usual,usual
face4\12face4.jpg,face6\1face6.jpg,False,False,0.063,second_set,usual,usual
face16\1face16.jpg,face4\12face4.jpg,False,False,0.064,second_set,usual,blurred
face16\3face16.jpg,face1\2face1.jpg,False,False,0.057,second_set,usual,blurred
face12\1face12.jpg,face7\2face7.jpg,True,False,0.065,second_set,usual,usual
face12\2face12.jpg,face4\12face4.jpg,False,False,0.063,second_set,usual,usual
face10\2face10.jpg,face2\12face2.jpg,False,False,0.065,second_set,usual,usual
face10\2face10.jpg,face9\1face9.jpg,False,False,0.064,second_set,usual,noised
face13\1face13.jpg,face10\2face10.jpg,False,False,0.071,second_set,usual,usual
face13\2face13.jpg,face1\2face1.jpg,False,False,0.059,second_set,usual,blurred
face8\3face8.jpg,face4\1face4.jpg,False,False,0.065,second_set,usual,usual
face8\4face8.jpg,face16\3face16.jpg,False,False,0.077,second_set,usual,blurred
face7\1face7.jpg,face5\10face5.jpg,False,False,0.068,second_set,usual,noised
face7\2face7.jpg,face1\1face1.jpg,False,False,0.074,second_set,usual,noised
face9\1face9.jpg,face1\2face1.jpg,False,False,0.062,second_set,usual,usual
face9\2face9.jpg,face1\1face1.jpg,False,False,0.073,second_set,usual,noised
face4\1face4.jpg,face16\3face16.jpg,False,False,0.06,second_set,usual,blurred
face4\2face4.jpg,face4\1face4.jpg,True,True,0.062,second_set,usual,usual
1\1.jpg,39\9.jpg,True,False,0.029,first_set,noised,noised
1\5.jpg,12\7.jpg,False,False,0.025,first_set,noised,blurred
1\9.jpg,40\4.jpg,False,False,0.026,first_set,noised,usual
5\1.jpg,13\8.jpg,False,False,0.027,first_set,noised,noised
5\2.jpg,8\10.jpg,False,False,0.028,first_set,noised,noised
6\5.jpg,19\3.jpg,False,False,0.027,first_set,noised,noised
6\6.jpg,23\6.jpg,False,False,0.027,first_set,noised,noised
7\8.jpg,40\1.jpg,False,False,0.029,first_set,noised,usual
8\9.jpg,12\5.jpg,True,False,0.025,first_set,blurred,usual
8\10.jpg,34\1.jpg,False,False,0.025,first_set,noised,blurred
12\7.jpg,22\5.jpg,True,False,0.025,first_set,blurred,blurred
12\7.jpg,6\8.jpg,False,False,0.028,first_set,noised,usual
12\5.jpg,40\8.jpg,True,False,0.025,first_set,blurred,blurred
33\4.jpg,40\8.jpg,False,False,0.026,first_set,noised,blurred
33\3.jpg,6\9.jpg,False,False,0.026,first_set,blurred,usual
23\2.jpg,1\10.jpg,False,False,0.026,first_set,noised,usual
34\1.jpg,6\7.jpg,False,False,0.026,first_set,blurred,usual
39\9.jpg,40\2.jpg,False,False,0.026,first_set,noised,usual
40\8.jpg,12\2.jpg,False,False,0.024,first_set,blurred,usual
26\7.jpg,6\6.jpg,False,False,0.025,first_set,noised,usual
26\6.jpg,5\1.jpg,False,False,0.025,first_set,blurred,noised
15\5.jpg,23\2.jpg,False,False,0.027,first_set,noised,noised
15\4.jpg,26\6.jpg,False,False,0.025,first_set,blurred,blurred
19\3.jpg,23\6.jpg,False,False,0.028,first_set,noised,noised
17\2.jpg,39\9.jpg,False,False,0.026,first_set,blurred,noised
6\1.jpg,6\6.jpg,False,True,0.027,first_set,noised,usual
6\7.jpg,40\2.jpg,False,False,0.025,first_set,blurred,usual
13\8.jpg,6\6.jpg,False,False,0.025,first_set,noised,usual
13\9.jpg,33\4.jpg,False,False,0.025,first_set,blurred,noised
23\6.jpg,23\2.jpg,False,True,0.026,first_set,noised,noised
22\5.jpg,7\8.jpg,False,False,0.025,first_set,blurred,noised
22\2.jpg,33\4.jpg,False,False,0.027,first_set,noised,noised
face1\1face1.jpg,face5\10face5.jpg,False,False,0.08,second_set,noised,noised
face1\2face1.jpg,face3\12face3.jpg,False,False,0.052,second_set,blurred,usual
face2\10face2.jpg,face3\12face3.jpg,False,False,0.062,second_set,noised,usual
